wkt_geom,ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
Point (127.04601399999999956 37.5413819999999987),100100209,2412,71,103000085,4184,경일초등학교입구,127.046014,37.541382
Point (127.04398999999999376 37.54140699999999953),100100209,2412,72,103000077,4176,뚝도아리수정수센터.수도박물관,127.04399,37.541407
Point (127.04607400000000439 37.53930553000000003),100100209,2412,73,103000075,4174,천주교성수동성당앞,127.046074,37.53930553
Point (127.04954999999999643 37.53822000000000259),100100209,2412,74,103000072,4171,성수1가1동새마을금고,127.04955,37.53822
Point (127.05234199999999589 37.53786800000000312),100100209,2412,75,103000100,4199,서울숲지구대앞,127.052342,37.537868
Point (127.05526999999999305 37.53719199999999745),100100209,2412,76,103000102,4201,뚝도시장구길,127.05527,37.537192
Point (127.05568200000000445 37.53579299999999819),100100210,2413,1,103000183,4286,성수동차고지,127.055682,37.535793
Point (127.05492680000000405 37.53755206999999672),100100210,2413,2,103000103,4202,뚝도시장구길,127.0549268,37.53755207
Point (127.05225889999999822 37.53805092000000343),100100210,2413,3,103000101,4200,서울숲지구대앞,127.0522589,37.53805092
Point (127.04950999999999794 37.53833000000000197),100100210,2413,4,103000073,4172,성수1가새마을금고,127.04951,37.53833
Point (127.0461389999999966 37.53936999999999813),100100210,2413,5,103000074,4173,천주교성수동성당앞,127.046139,37.53937
Point (127.04420260000000553 37.54097723999999658),100100210,2413,6,103000076,4175,뚝도아리수정수센터.수도박물관,127.0442026,37.54097724
Point (127.04469199999999773 37.54295799999999872),100100210,2413,7,103000078,4177,서울숲역2번출구,127.044692,37.542958
Point (127.04489610000000255 37.54607196999999985),100100210,2413,8,103000080,4179,성동구민종합체육센터,127.0448961,37.54607197
Point (127.04550600000000316 37.54769600000000196),100100210,2413,9,103000134,4236,뚝섬역8번출구,127.045506,37.547696
Point (127.04927200000000198 37.54648199999999747),100100210,2413,10,103000136,4238,뚝섬역5번출구,127.049272,37.546482
Point (127.05002589999999429 37.54576984999999922),100100210,2413,11,103000140,4242,SK테크노빌딩앞,127.0500259,37.54576985
Point (127.04921290000000056 37.54339130000000324),100100210,2413,12,103000142,4244,경동초등학교입구,127.0492129,37.5433913
Point (127.04817500000000052 37.54091700000000031),100100210,2413,13,103000144,4246,경일초등학교앞,127.048175,37.540917
Point (127.05031499999999767 37.53997242999999884),100100210,2413,14,103000082,4181,성원중학교후문,127.050315,37.53997243
Point (127.05342650000000049 37.53909394000000077),100100210,2413,15,103000098,4197,성원중.성수2가제1동주민센터,127.0534265,37.53909394
Point (127.05539960000000121 37.53858661000000296),100100210,2413,16,103000096,4195,뚝도시장,127.0553996,37.53858661
Point (127.05701179999999795 37.53816503000000182),100100210,2413,17,103000094,4193,경수중학교,127.0570118,37.53816503
Point (127.06013210000000413 37.5373416899999981),100100210,2413,18,103000092,4191,성수119안전센터,127.0601321,37.53734169
Point (127.06074200000000474 37.53694500000000289),100100210,2413,19,103000090,4189,영동대교북단,127.060742,37.536945
Point (127.05999699999999564 37.53753199999999879),100100210,2413,54,103000093,4192,성수119안전센터,127.059997,37.537532
Point (127.05729820000000529 37.53828654000000142),100100210,2413,55,103000095,4194,경수중학교,127.0572982,37.53828654
Point (127.05526000000000408 37.5388499999999965),100100210,2413,56,103000097,4196,뚝도시장,127.05526,37.53885
Point (127.05284500000000492 37.53951099999999741),100100210,2413,57,103000099,4198,성원중.성수2가제1동주민센터,127.052845,37.539511
Point (127.05075960000000634 37.5400388300000003),100100210,2413,58,103000083,4182,성원중학교후문,127.0507596,37.54003883
Point (127.048207000000005 37.54077199999999692),100100210,2413,59,103000143,4245,경일초등학교앞,127.048207,37.540772
Point (127.04948000000000263 37.54377000000000209),100100210,2413,60,103000141,4243,경동초등학교입구,127.04948,37.54377
Point (127.04927000000000703 37.54679999999999751),100100210,2413,61,103000137,4239,뚝섬역4번출구,127.04927,37.5468
Point (127.04684600000000216 37.54757500000000192),100100210,2413,62,103000135,4237,뚝섬역2번출구,127.046846,37.547575
Point (127.04453300000000127 37.54649299999999812),100100210,2413,63,103000081,4180,성동구민종합체육센터,127.044533,37.546493
Point (127.04450099999999679 37.5430640000000011),100100210,2413,64,103000079,4178,서울숲역3번출구,127.044501,37.543064
Point (127.04398999999999376 37.54140699999999953),100100210,2413,65,103000077,4176,뚝도아리수정수센터.수도박물관,127.04399,37.541407
Point (127.04607400000000439 37.53930553000000003),100100210,2413,66,103000075,4174,천주교성수동성당앞,127.046074,37.53930553
Point (127.04954999999999643 37.53822000000000259),100100210,2413,67,103000072,4171,성수1가1동새마을금고,127.04955,37.53822
Point (127.05234199999999589 37.53786800000000312),100100210,2413,68,103000100,4199,서울숲지구대앞,127.052342,37.537868
Point (127.05526999999999305 37.53719199999999745),100100210,2413,69,103000102,4201,뚝도시장구길,127.05527,37.537192
Point (127.06327500000000441 37.54126300000000072),104000010,2416,32,103000110,4209,서울효사랑병원,127.063275,37.541263
Point (127.06229860000000542 37.53969985999999892),104000010,2416,33,103000091,4190,경수중학교,127.0622986,37.53969986
Point (127.06074200000000474 37.53694500000000289),104000010,2416,34,103000090,4189,영동대교북단,127.060742,37.536945
Point (127.06666289999999719 37.54727766999999972),104000006,242,23,103000108,4207,화양사거리,127.0666629,37.54727767
Point (127.06415300000000457 37.54282500000000056),104000006,242,24,103000109,4208,성수사거리.성수초등학교,127.064153,37.542825
Point (127.06327500000000441 37.54126300000000072),104000006,242,25,103000110,4209,서울효사랑병원,127.063275,37.541263
Point (127.06229860000000542 37.53969985999999892),104000006,242,26,103000091,4190,경수중학교,127.0622986,37.53969986
Point (127.06074200000000474 37.53694500000000289),104000006,242,27,103000090,4189,영동대교북단,127.060742,37.536945
Point (127.06433730000000537 37.54823912999999891),100100052,302,54,103000114,4213,성동세무서,127.0643373,37.54823913
Point (127.05683700000000158 37.54934800000000195),100100052,302,55,103000112,4211,제인병원,127.056837,37.549348
Point (127.05478200000000299 37.55023742000000198),100100052,302,56,103000167,4269,성수2가3동주민센터,127.054782,37.55023742
Point (127.05069050000000175 37.55123019999999912),100100052,302,57,103000153,4255,리버하우스,127.0506905,37.5512302
Point (127.04666199999999776 37.55174800000000346),100100052,302,58,103000089,4188,상원,127.046662,37.551748
Point (127.04604999999999393 37.55143999999999949),100100052,302,73,103000088,4187,상원,127.04605,37.55144
Point (127.05100609999999506 37.55090025999999881),100100052,302,74,103000152,4254,리버하우스,127.0510061,37.55090026
Point (127.05539199999999767 37.54962199999999939),100100052,302,75,103000111,4210,성수2가3동주민센터,127.055392,37.549622
Point (127.06218499999999949 37.54799500000000023),100100052,302,76,103000113,4212,성동세무서앞,127.062185,37.547995
Point (127.06612900000000366 37.54811800000000233),100100052,302,77,103000189,4293,우리은행화양동지점,127.066129,37.548118
Point (127.06666289999999719 37.54727766999999972),100100216,3217,45,103000108,4207,화양사거리,127.0666629,37.54727767
Point (127.06415300000000457 37.54282500000000056),100100216,3217,46,103000109,4208,성수사거리.성수초등학교,127.064153,37.542825
Point (127.06229860000000542 37.53969985999999892),100100216,3217,47,103000091,4190,경수중학교,127.0622986,37.53969986
Point (127.06074200000000474 37.53694500000000289),100100216,3217,48,103000090,4189,영동대교북단,127.060742,37.536945
Point (127.06327500000000441 37.54126300000000072),100100234,4212,48,103000110,4209,서울효사랑병원,127.063275,37.541263
Point (127.06229860000000542 37.53969985999999892),100100234,4212,49,103000091,4190,경수중학교,127.0622986,37.53969986
Point (127.06074200000000474 37.53694500000000289),100100234,4212,50,103000090,4189,영동대교북단,127.060742,37.536945
Point (127.03660120000000688 37.54461804000000313),100100605,463,20,103000121,4222,뚝섬서울숲,127.0366012,37.54461804
Point (127.0363969999999938 37.54567200000000327),100100605,463,74,103000122,4223,뚝섬서울숲,127.036397,37.545672
Point (127.04637200000000519 37.54107900000000342),100100420,6013,19,103000084,4183,경일초등학교입구,127.046372,37.541079
Point (127.05342650000000049 37.53909394000000077),100100420,6013,20,103000098,4197,성원중.성수2가제1동주민센터,127.0534265,37.53909394
Point (127.06013210000000413 37.5373416899999981),100100420,6013,21,103000092,4191,성수119안전센터,127.0601321,37.53734169
Point (127.05999699999999564 37.53753199999999879),100100420,6013,43,103000093,4192,성수119안전센터,127.059997,37.537532
Point (127.05284500000000492 37.53951099999999741),100100420,6013,44,103000099,4198,성원중.성수2가제1동주민센터,127.052845,37.539511
Point (127.04601399999999956 37.5413819999999987),100100420,6013,45,103000085,4184,경일초등학교입구,127.046014,37.541382
Point (127.06666289999999719 37.54727766999999972),110000004,8146,50,103000108,4207,화양사거리,127.0666629,37.54727767
Point (127.06415300000000457 37.54282500000000056),110000004,8146,51,103000109,4208,성수사거리.성수초등학교,127.064153,37.542825
Point (127.06327500000000441 37.54126300000000072),110000004,8146,52,103000110,4209,서울효사랑병원,127.063275,37.541263
Point (127.06229860000000542 37.53969985999999892),110000004,8146,53,103000091,4190,경수중학교,127.0622986,37.53969986
Point (127.06074200000000474 37.53694500000000289),110000004,8146,54,103000090,4189,영동대교북단,127.060742,37.536945
Point (127.05115499999999429 37.54589500000000157),103900008,성동10,1,103900299,4547,경동초등학교입구,127.051155,37.545895
Point (127.05458199999999636 37.54478799999999694),103900008,성동10,2,103900215,4253,성수역4번출구,127.054582,37.544788
Point (127.05962100000000703 37.54336299999999937),103900008,성동10,3,103900048,4577,경수중학교입구,127.059621,37.543363
Point (127.06554730000000575 37.54834119000000214),103900008,성동10,8,103900093,4597,왕약국,127.0655473,37.54834119
Point (127.06666289999999719 37.54727766999999972),103900008,성동10,15,103000108,4207,화양사거리,127.0666629,37.54727767
Point (127.06558499999999867 37.54581799999999703),103900008,성동10,16,104900131,4518,성수SKV1센터1동,127.065585,37.545818
Point (127.06305799999999806 37.54657600000000173),103900008,성동10,17,103900296,4526,성수이비즈센터,127.063058,37.546576
Point (127.06008900000000494 37.54351400000000183),103900008,성동10,18,103900297,4533,경수중학교입구,127.060089,37.543514
Point (127.05763799999999719 37.54426800000000242),103900008,성동10,19,103900298,4540,성수역2번출구,127.057638,37.544268
Point (127.05383000000000493 37.54542000000000002),103900008,성동10,20,103000138,4240,성수역1번출구,127.05383,37.54542
Point (127.05115499999999429 37.54589500000000157),103900008,성동10,21,103900299,4547,경동초등학교입구,127.051155,37.545895
Point (127.03756500000000074 37.54345699999999653),103900010,성동13,3,103000162,4264,뚝섬서울숲,127.037565,37.543457
Point (127.04297440000000563 37.54197811000000229),103900010,성동13,4,103000164,4266,서울숲1번출입구,127.0429744,37.54197811
Point (127.04469199999999773 37.54295799999999872),103900010,성동13,5,103000078,4177,서울숲역2번출구,127.044692,37.542958
Point (127.0491310000000027 37.54231599999999958),103900010,성동13,6,103900251,4852,경일중고등학교,127.049131,37.542316
Point (127.05031499999999767 37.53997242999999884),103900010,성동13,7,103000082,4181,성원중학교후문,127.050315,37.53997243
Point (127.05228400000000022 37.54012099999999919),103900010,성동13,8,103900253,4854,이마트.서울숲힐스테이트아파트,127.052284,37.540121
Point (127.05398999999999887 37.54141099999999653),103900010,성동13,9,103900254,4855,서울숲코오롱디지털타워2차,127.05399,37.541411
Point (127.05473899999999787 37.54007599999999911),103900010,성동13,10,103900255,4856,서울경찰청제6기동단,127.054739,37.540076
Point (127.05531999999999471 37.53964700000000221),103900010,성동13,11,103900256,4857,한라시그마밸리앞,127.05532,37.539647
Point (127.05706100000000447 37.54384199999999794),103900010,성동13,12,103900257,4858,성수역3번출구,127.057061,37.543842
Point (127.05669070000000431 37.54355982999999952),103900010,성동13,13,103900233,4862,성수역3번출구,127.0566907,37.54355983
Point (127.05517860000000496 37.53990607000000068),103900010,성동13,14,103900235,4864,한라시그마밸리,127.0551786,37.53990607
Point (127.05477199999999982 37.54022799999999904),103900010,성동13,15,103900236,4865,서울경찰청제6기동단,127.054772,37.540228
Point (127.05384800000000212 37.54146099999999819),103900010,성동13,16,103900258,4859,서울숲코오롱디지털타워2차,127.053848,37.541461
Point (127.05257000000000289 37.5405280000000019),103900010,성동13,17,103900259,4860,이마트.서울숲힐스테이트아파트,127.05257,37.540528
Point (127.05075960000000634 37.5400388300000003),103900010,성동13,18,103000083,4182,성원중학교후문,127.0507596,37.54003883
Point (127.04962199999999939 37.54052300000000031),103900010,성동13,19,103900261,4861,현대그린아파트,127.049622,37.540523
Point (127.0492100000000022 37.54250300000000351),103900010,성동13,20,103900262,4863,경일중고등학교,127.04921,37.542503
Point (127.04514600000000257 37.54386900000000082),103900010,성동13,21,103900263,4866,서울숲역,127.045146,37.543869
Point (127.04451500000000408 37.54527000000000214),103900010,성동13,22,103900264,4867,성동구민종합체육센터,127.044515,37.54527
Point (127.04255000000000564 37.54352699999999743),103900010,성동13,23,103900265,4868,서울숲2번출입구,127.04255,37.543527
Point (127.03755499999999756 37.5436380000000014),103900010,성동13,24,103900242,4871,서울숲9번출입구,127.037555,37.543638
Point (127.03551600000000121 37.54429100000000119),103900010,성동13,25,103900243,4873,성수대교북단교차로,127.035516,37.544291
Point (127.06327500000000441 37.54126300000000072),100100589,N61,132,103000110,4209,서울효사랑병원,127.063275,37.541263
Point (127.06229860000000542 37.53969985999999892),100100589,N61,133,103000091,4190,경수중학교,127.0622986,37.53969986
Point (127.06074200000000474 37.53694500000000289),100100589,N61,134,103000090,4189,영동대교북단,127.060742,37.536945
Point (127.04396280000000274 37.55050751999999648),100100588,N62,62,103000087,4186,성동교남단.서울숲리버포레,127.0439628,37.55050752
Point (127.04550600000000316 37.54769600000000196),100100588,N62,63,103000134,4236,뚝섬역8번출구,127.045506,37.547696
Point (127.04927200000000198 37.54648199999999747),100100588,N62,64,103000136,4238,뚝섬역5번출구,127.049272,37.546482
Point (127.05458199999999636 37.54478799999999694),100100588,N62,65,103900215,4253,성수역4번출구,127.054582,37.544788
Point (127.06235200000000418 37.54256199999999666),100100588,N62,66,103900213,4256,성수사거리,127.062352,37.542562
Point (127.06236199999999315 37.54279499999999814),100100588,N62,104,103900214,4257,성수사거리,127.062362,37.542795
Point (127.05383000000000493 37.54542000000000002),100100588,N62,105,103000138,4240,성수역1번출구,127.05383,37.54542
Point (127.04927000000000703 37.54679999999999751),100100588,N62,106,103000137,4239,뚝섬역4번출구,127.04927,37.5468
Point (127.04684600000000216 37.54757500000000192),100100588,N62,107,103000135,4237,뚝섬역2번출구,127.046846,37.547575
Point (127.04445660000000373 37.54951635999999837),100100588,N62,108,103000086,4185,성동교남단.서울숲리버포레,127.0444566,37.54951636
Point (127.06236199999999315 37.54279499999999814),123000013,N73,26,103900214,4257,성수사거리,127.062362,37.542795
Point (127.05383000000000493 37.54542000000000002),123000013,N73,27,103000138,4240,성수역1번출구,127.05383,37.54542
Point (127.04927000000000703 37.54679999999999751),123000013,N73,28,103000137,4239,뚝섬역4번출구,127.04927,37.5468
Point (127.04684600000000216 37.54757500000000192),123000013,N73,29,103000135,4237,뚝섬역2번출구,127.046846,37.547575
Point (127.04445660000000373 37.54951635999999837),123000013,N73,30,103000086,4185,성동교남단.서울숲리버포레,127.0444566,37.54951636
Point (127.04396280000000274 37.55050751999999648),123000013,N73,131,103000087,4186,성동교남단.서울숲리버포레,127.0439628,37.55050752
Point (127.04550600000000316 37.54769600000000196),123000013,N73,132,103000134,4236,뚝섬역8번출구,127.045506,37.547696
Point (127.04927200000000198 37.54648199999999747),123000013,N73,133,103000136,4238,뚝섬역5번출구,127.049272,37.546482
Point (127.05458199999999636 37.54478799999999694),123000013,N73,134,103900215,4253,성수역4번출구,127.054582,37.544788
Point (127.06235200000000418 37.54256199999999666),123000013,N73,135,103900213,4256,성수사거리,127.062352,37.542562
